player,team,xG,goals,shots,xG_per_shot,finishing_diff,shots_per_match
Adnan Januzaj,Borussia Dortmund,0.43488147600000004,0,4,0.10872036900000001,-0.43488147600000004,0.4
Adnan Januzaj,Manchester United,0.42055542700000004,1,4,0.10513885675000001,0.579444573,0.4
Adnan Januzaj,Real Sociedad,0.277844563,0,6,0.046307427166666665,-0.277844563,0.6
Adnane Tighadouini,Málaga,0.876404185,1,15,0.05842694566666666,0.12359581500000005,1.5
Ado Onaiwu,Toulouse,0.175056813,0,2,0.0875284065,-0.175056813,0.2
Adrian Mutu,Chelsea,0.1031901,0,1,0.1031901,-0.1031901,0.1
Adriana Achcińska,Köln,0.709117982,1,8,0.08863974775,0.290882018,0.8
Adriana Achcińska,Poland Women's,0.015252503,0,1,0.015252503,-0.015252503,0.1
Adriana Kristina Leon,Aston Villa W,3.348295201,5,26,0.12878058465384615,1.651704799,2.6
Adriana Kristina Leon,Canada Women's,0.6646724635,1,8,0.0830840579375,0.3353275365,0.8
Adriana Kristina Leon,OL Reign,0.101407885,0,2,0.0507039425,-0.101407885,0.2
Adriana Kristina Leon,Portland Thorns,0.016152706,0,1,0.016152706,-0.016152706,0.1
Adriana Kristina Leon,West Ham United LFC,6.244021745,7,53,0.11781173103773586,0.7559782549999996,5.3
Adriana Leal da Silva,Brazil Women's,0.665573262,0,8,0.08319665775,-0.665573262,0.8
Adriana Leal da Silva,Orlando Pride,5.281964644,6,61,0.08658958432786885,0.7180353559999997,6.1
Adriano Correia Claro,Barcelona,5.825567074,8,82,0.07104350090243902,2.1744329259999997,8.2
Adriano Correia Claro,Sevilla,0.0701827,0,3,0.023394233333333334,-0.0701827,0.3
Adriano Russo,Frosinone,0.15270118,1,1,0.15270118,0.84729882,0.1
Adrien Hunou,Angers,0.187658885,0,2,0.0938294425,-0.187658885,0.2
Adrien Rabiot,France,1.3140542210000001,1,15,0.08760361473333335,-0.31405422100000013,1.5
Adrien Rabiot,Paris Saint-Germain,0.8198781476,1,14,0.05856272482857143,0.1801218524,1.4
Adrien Regattin,Toulouse,1.4115896534999999,1,33,0.04277544404545454,-0.4115896534999999,3.3
Adrien Sebastian Perruchet Silva,Portugal,0.108047125,0,2,0.0540235625,-0.108047125,0.2
Adrien Thomasson,Nantes,2.811390593,2,39,0.07208693828205129,-0.811390593,3.9
Adrienne Jordan,Birmingham City WFC,0.142410747,0,2,0.0712053735,-0.142410747,0.2
Adrián Colunga Pérez,Getafe,0.030441007,0,1,0.030441007,-0.030441007,0.1
Adrián Colunga Pérez,Real Zaragoza,0.378309377,2,3,0.12610312566666668,1.621690623,0.3
Adrián Colunga Pérez,Recreativo Huelva,0.03278612,0,1,0.03278612,-0.03278612,0.1
Adrián Embarba Blázquez,Espanyol,0.17827352,0,2,0.08913676,-0.17827352,0.2
Adrián Embarba Blázquez,Rayo Vallecano,3.280331056,2,41,0.08000807453658537,-1.280331056,4.1
Adrián González Morales,Eibar,5.292716575,5,49,0.10801462397959184,-0.29271657500000003,4.9
Adrián González Morales,Elche,0.012934389,0,1,0.012934389,-0.012934389,0.1
Adrián González Morales,Getafe,0.077759176,0,2,0.038879588,-0.077759176,0.2
Adrián González Morales,Racing Santander,0.2283107495,0,5,0.0456621499,-0.2283107495,0.5
Adrián González Morales,Rayo Vallecano,0.032935563,0,1,0.032935563,-0.032935563,0.1
Adrián López Álvarez,Atlético Madrid,0.34163028,0,5,0.068326056,-0.34163028,0.5
Adrián López Álvarez,Málaga,0.21507037,0,1,0.21507037,-0.21507037,0.1
Adrián López Álvarez,Osasuna,0.054468356,0,1,0.054468356,-0.054468356,0.1
Adrián López Álvarez,RC Deportivo La Coruña,1.318736297,2,6,0.21978938283333335,0.6812637029999999,0.6
Adrián López Álvarez,Villarreal,2.082198808,4,8,0.260274851,1.9178011920000002,0.8
Adrián Marín Gómez,Deportivo Alavés,0.1637566,0,1,0.1637566,-0.1637566,0.1
Adrián Marín Gómez,Villarreal,0.15268786,0,1,0.15268786,-0.15268786,0.1
Adrián Nicolás Luna Retamar,Kerala Blasters,1.4142163079999999,6,30,0.047140543599999994,4.585783692,3.0
Adryan Oliveira Tavares,Nantes,2.440752107,3,31,0.07873393893548386,0.5592478930000002,3.1
Afriyie Acquah,Torino,0.7965577395,2,24,0.0331899058125,1.2034422605000001,2.4
Ager Aketxe Barrutia,Athletic Club,0.242466785,0,4,0.06061669625,-0.242466785,0.4
Agla María Albertsdóttir,Iceland Women's,0.165023594,0,3,0.05500786466666666,-0.165023594,0.3
Agne Simonsson,Sweden,0.501465795,1,3,0.167155265,0.498534205,0.3
Agnes Beever-Jones,Chelsea FCW,6.313734445,11,41,0.15399352304878047,4.686265555,4.1
Agnes Beever-Jones,England Women's,0.55556868,1,2,0.27778434,0.44443131999999996,0.2
Agnese Bonfantini,FC Internazionale Milano W,9.856794808,8,50,0.19713589616,-1.856794808,5.0
Agnese Bonfantini,Italy Women's,0.23306058600000001,0,3,0.07768686200000001,-0.23306058600000001,0.3
Aguibou Camara,Guinea,0.5335454829999999,1,5,0.10670909659999998,0.46645451700000007,0.5
Agustina Barroso Basualdo,Costa Adeje Tenerife,2.397521779,2,16,0.1498451111875,-0.39752177899999985,1.6
