team,xG_for,goals_for,shots,xG_per_shot,finishing_diff,attack_strength
Eintracht Frankfurt,35.1016311317,33,385,0.09117306787454546,-2.101631131700003,1.0359337288289756
Eintracht Frankfurt W,42.0087654763,41,323,0.1300580974498452,-1.008765476299999,1.239779909374763
Elche,1.4893742349999999,0,23,0.06475540152173913,-1.4893742349999999,0.043955023032874914
Empoli,38.0120408046,39,489,0.07773423477423312,0.987959195400002,1.1218269322973577
England,50.875595602,55,348,0.14619424023563218,4.124404398000003,1.5014614352430635
England Women's,68.45916640749999,73,411,0.1665673148600973,4.540833592500007,2.020394985719005
Equatorial Guinea,3.9552391250000003,9,31,0.12758835887096776,5.044760875,0.11672863861506443
Espanyol,64.39294914,52,594,0.10840563828282829,-12.392949139999999,1.900391114663967
Everton,56.9053426925,58,525,0.10839112893809524,1.0946573075000003,1.6794138034370374
Everton LFC,97.5707976182,92,843,0.11574234592906288,-5.570797618200004,2.8795493811157264
FC Heidenheim,0.8770878830000001,2,8,0.10963598537500001,1.1229121169999998,0.02588497718917536
FC Internazionale Milano W,56.4469442945,44,419,0.13471824413961814,-12.4469442945,1.6658853619823462
FC Köln,42.2680734375,38,417,0.10136228642086331,-4.2680734375,1.2474327122360627
FC Levante Badalona,35.2605140645,38,341,0.10340326705131965,2.7394859354999994,1.040622747080157
FC Porto,0.508894113,3,4,0.12722352825,2.491105887,0.015018691697865613
FSV Mainz 05,44.0125262268,47,404,0.1089418966009901,2.9874737732000014,1.2989157181398436
Finland,1.877742247,1,19,0.09882853931578947,-0.877742247,0.05541669902506894
Fiorentina,55.661891191,60,596,0.09339243488422819,4.338108808999998,1.6427165529379408
Fiorentina W,43.3902939055,41,348,0.1246847526020115,-2.390293905500002,1.2805521427725415
France,50.125917527,49,367,0.13658288154495912,-1.1259175269999986,1.479336628542707
France Women's,58.576170681,54,379,0.15455454005540897,-4.576170681000001,1.7287239640351153
Freiburg,1.818422826,3,21,0.08659156314285714,1.181577174,0.053666039952903775
Frosinone,33.5702805436,34,492,0.06823227752764227,0.42971945640000087,0.9907398824540634
Fulham,1.710480988,0,24,0.07127004116666667,-1.710480988,0.05048041617614974
