player,team,xG,goals,shots,xG_diff
Aitor Ocio Carrión,Athletic Club,0.016181275,0,1,-0.016181275
Aitor Ocio Carrión,Sevilla,0.10085992,0,1,-0.10085992
Aitor Ramos Leniz,Athletic Club,0.033331156,0,1,-0.033331156
Aitor Tornavaca Fernández,Recreativo Huelva,0.065725006,0,2,-0.065725006
Ajara Nchout,Cameroon W,0.618544714,2,5,1.381455286
Ajara Nchout,FC Internazionale Milano W,0.850575774,0,6,-0.850575774
Ajay Chhetri,Bengaluru,0.014460521,0,1,-0.014460521
Ajdin Hrustic,Australia,0.039209995,0,1,-0.039209995
Akash Mishra,Hyderabad,0.849049142,2,10,1.1509508579999999
Akash Mishra,SC Delhi,0.0320702715,0,2,-0.0320702715
Akihiro Ienaga,Mallorca,0.09138448,0,1,-0.09138448
Akram Hassan Afif,Qatar,0.030222171,0,2,-0.030222171
Akshunna Tyagi,Odisha,0.32550627,0,1,-0.32550627
Alaeddine Yahia,Caen,0.28125343999999997,0,4,-0.28125343999999997
Alaeddine Yahia,Stade Malherbe Caen,1.289189385,1,12,-0.289189385
Alan Dzagoev,Russia,0.91115533,1,2,0.08884466999999996
Alan Henrique Costa,Bengaluru,1.568799149,2,11,0.43120085100000005
Alan Hutton,Aston Villa,0.677810072,0,11,-0.677810072
Alan James Ball,England,0.15828194,0,3,-0.15828194
Alan Patrick Mullery,England,0.07489438,0,1,-0.07489438
Alan Shearer,Newcastle United,0.043060707000000004,0,2,-0.043060707000000004
Alan Smith,Leeds United,0.280638038,1,5,0.719361962
Alan Steve Minda García,Ecuador,0.9914318900000001,1,2,0.008568109999999907
Alan Steven Franco Palma,Ecuador,0.171235749,0,3,-0.171235749
Alan Stubbs,Everton,0.244547722,0,3,-0.244547722
Alan Virginius,Lille,0.090707794,0,1,-0.090707794
Alana Cook,Seattle Reign,0.22013191799999998,0,3,-0.22013191799999998
Alanna Stephanie Kennedy,Australia Women's,1.138046401,1,12,-0.13804640099999999
Alanna Stephanie Kennedy,Manchester City WFC,1.4684613720000002,0,13,-1.4684613720000002
Alanna Stephanie Kennedy,Orlando Pride,1.44412444,1,12,-0.44412443999999995
Alanna Stephanie Kennedy,Tottenham Hotspur Women,2.2232517425,1,33,-1.2232517425
Alara Şehitler,Bayern München W,0.06363191,0,1,-0.06363191
Alasana Manneh,Gambia,0.060111581,0,2,-0.060111581
Alassane Pléa,Borussia Mönchengladbach,0.016806483,0,1,-0.016806483
Alassane Pléa,OGC Nice,4.7290104215,6,47,1.2709895785
Alassane Touré,Gazélec Ajaccio,0.328913839,1,7,0.6710861610000001
Alayah Pilgrim,AS Roma W,1.7242442740000001,1,13,-0.7242442740000001
Alayah Pilgrim,Switzerland Women's,0.609073134,1,7,0.39092686600000004
Alba Cerrato Izquierdo,Sevilla FC,0.44419135699999995,0,4,-0.44419135699999995
Alba María Redondo Ferrer,Levante UD Femenino,11.055023939,16,69,4.944976061
Alba María Redondo Ferrer,Spain Women's,4.216054165,3,18,-1.216054165
Alba Pérez Manrique,Granada W,0.367678192,0,8,-0.367678192
Albert Crusat Domene,Almería,0.319200237,0,3,-0.319200237
Albert Luque Martos,Málaga,0.38335152,0,3,-0.38335152
Albert Riera Ortega,Espanyol,0.028343752,0,1,-0.028343752
Alberth Josué Elis Martínez,Bordeaux,0.2286536,0,2,-0.2286536
Alberto Botía Rabasco,Sevilla,0.09587792,1,1,0.90412208
