team,xG,goals,shots,xG_diff
Mozambique,2.313110307,4,28,1.686889693
Mumbai City,30.5872128725,35,290,4.4127871275
Málaga,53.3295718745,46,557,-7.329571874499997
NJ/NY Gotham FC,48.2618783475,37,420,-11.261878347500001
NY Cosmos,2.075976289,2,26,-0.0759762890000002
Namibia,3.8186313335,1,34,-2.8186313335
Nantes,41.0512369,36,484,-5.051236899999999
Napoli,72.0503772539,88,740,15.949622746100005
Napoli W,27.587155655500002,18,293,-9.587155655500002
Nashville SC,0.409245405,0,7,-0.409245405
Netherlands,34.822699674,39,273,4.177300326000001
Netherlands Women's,27.9616974925,34,254,6.038302507499999
New York Red Bulls,1.285565842,0,13,-1.285565842
New Zealand Women's,5.4345234725,1,59,-4.4345234725
Newcastle United,42.3681081265,45,421,2.6318918735000025
Nigeria,17.310807574,14,125,-3.3108075739999983
Nigeria Women's,10.2549512945,6,87,-4.2549512945
North Carolina Courage,71.349398981,57,528,-14.349398980999993
North Macedonia,3.199304821,2,33,-1.1993048210000001
NorthEast United,25.1229972016,24,277,-1.1229972016000005
Northern Ireland W,0.891762179,1,16,0.10823782100000001
Norway Women's,29.300428641,26,210,-3.300428641
Norwich City,40.9721144655,38,424,-2.972114465499999
Nürnberg W,16.1719284655,15,170,-1.1719284654999989
OGC Nice,47.611687836499996,57,440,9.388312163500004
OL Reign,16.611752734,10,105,-6.6117527339999995
Odisha,25.3539903855,30,226,4.646009614499999
Olympique de Marseille,43.0639226205,39,405,-4.063922620500001
Orlando Pride,53.218101552,36,432,-17.218101552
Osasuna,12.564071977,10,139,-2.5640719769999993
Palermo,35.640983787,37,416,1.3590162129999968
Panama,6.0626502355,7,74,0.9373497645000004
Panama Women's,2.212212941,3,25,0.7877870589999998
Panathinaikos,0.698052243,0,14,-0.698052243
Paraguay,3.079363395,3,43,-0.07936339500000011
Paris Saint-Germain,188.8623204421,235,1432,46.137679557899986
Peru,5.8987462625,4,75,-1.8987462624999996
Philippines Women's,0.6425583815,1,11,0.3574416185
Poland,15.943506711,12,141,-3.9435067109999995
Poland Women's,3.728112811,3,34,-0.7281128109999999
Pomigliano,25.4101534635,21,266,-4.410153463499999
Portland Thorns,57.047179308,56,485,-1.047179307999997
Portsmouth,1.9232552083,2,23,0.07674479169999993
Portugal,33.818292424,34,270,0.18170757600000087
Portugal Women's,11.947809729,8,103,-3.9478097289999994
Qatar,1.372200224,1,20,-0.37220022399999997
RB Leipzig,2.542715628,4,24,1.4572843720000002
RB Leipzig W,20.1753967195,26,220,5.8246032805
RC Deportivo La Coruña,52.6859944265,54,599,1.3140055734999976
Racing Louisville FC,34.3597510135,23,327,-11.359751013500002
Racing Santander,7.8416303835,4,81,-3.8416303835
Rayo Vallecano,59.0187652489,55,607,-4.018765248900003
Reading WFC,88.5316234302,76,771,-12.5316234302
Real Betis,60.4920559912,63,584,2.5079440088000027
Real Betis Balompié,28.943207217,30,311,1.0567927829999988
Real Madrid,134.9524331495,165,1188,30.047566850500004
Real Madrid CF W,66.4606922905,71,518,4.539307709499994
Real Murcia CF,2.0128066785,3,21,0.9871933214999999
Real Sociedad,70.0381661825,66,683,-4.038166182500007
Real Sociedad de Fútbol,37.4160523365,40,381,2.5839476634999983
Real Valladolid,9.1943489099,4,114,-5.1943489099
Real Zaragoza,12.2230781435,11,112,-1.2230781435000004
Recreativo Huelva,4.903111818,2,43,-2.903111818
Rennes,48.954247901,54,469,5.045752098999998
Republic of Ireland Women's,3.734806955,1,28,-2.734806955
River Plate,2.685813194,1,33,-1.685813194
Romania,5.3513206395,6,56,0.6486793605000001
Russia,15.181704394,19,84,3.8182956059999995
SC Delhi,2.2820328895,2,28,-0.28203288949999994
SC Freiburg,27.846401295,24,277,-3.8464012949999997
SD Eibar,23.865221607,21,308,-2.8652216069999987
SGS Essen 19/68,30.588131326,32,279,1.4118686740000008
SV Werder Bremen,32.9867798115,31,247,-1.9867798115
Saint-Étienne,46.0057780658,41,457,-5.005778065800001
Sampdoria,40.3619957324,45,439,4.638004267600003
Sampdoria W,28.91035028,24,335,-4.910350279999999
San Diego Wave,32.596078487,30,282,-2.5960784869999998
Sassuolo,45.178735952,48,495,2.8212640480000033
Sassuolo W,34.0662933195,38,305,3.933706680500002
Saudi Arabia,6.547113253,5,65,-1.547113253
Schalke 04,46.4795653405,47,486,0.5204346594999976
Scotland,5.666418761,2,58,-3.666418761
Scotland W,3.409771696,5,32,1.590228304
Seattle Reign,31.563906031,32,289,0.43609396900000164
Seattle Sounders,1.719411668,1,24,-0.719411668
Senegal,17.757647046,21,128,3.242352954000001
Serbia,10.1379402885,8,93,-2.1379402884999994
Sevilla,92.580159672,75,750,-17.580159671999994
Sevilla FC,40.194518775,51,384,10.805481225000001
Slovakia,5.934630457,5,74,-0.9346304569999999
